id,date,cho,shd,diff
"1",20140601,75,73,2
"2",20140602,81,80,1
"3",20140603,83,81,2
"4",20140604,88,84,4
"5",20140605,81,78,3
"6",20140606,81,77,4
"7",20140607,83,79,4
"8",20140608,82,80,2
"9",20140609,85,83,2
"10",20140610,88,84,4
"11",20140611,86,84,2
"12",20140612,81,79,2
"13",20140613,85,82,3
"14",20140614,81,80,1
"15",20140615,81,82,-1
"16",20140616,90,89,1
"17",20140617,92,92,0
"18",20140618,96,93,3
"19",20140619,91,90,1
"20",20140620,83,84,-1
"21",20140621,78,84,-6
"22",20140622,78,77,1
"23",20140623,81,78,3
"24",20140624,85,83,2
"25",20140625,87,85,2
"26",20140626,89,84,5
"27",20140627,87,85,2
"28",20140628,83,80,3
"29",20140629,83,80,3
"30",20140630,87,84,3
"31",20140701,92,91,1
"32",20140702,95,93,2
"33",20140703,88,83,5
"34",20140704,80,79,1
"35",20140705,81,77,4
"36",20140706,85,85,0
"37",20140707,89,89,0
"38",20140708,91,91,0
"39",20140709,85,86,-1
"40",20140710,83,83,0
"41",20140711,85,81,4
"42",20140712,88,86,2
"43",20140713,91,91,0
"44",20140714,93,89,4
"45",20140715,86,81,5
"46",20140716,81,79,2
"47",20140717,82,79,3
"48",20140718,82,78,4
"49",20140719,79,76,3
"50",20140720,78,76,2
"51",20140721,81,84,-3
"52",20140722,85,86,-1
"53",20140723,93,90,3
"54",20140724,76,75,1
"55",20140725,82,80,2
"56",20140726,87,85,2
"57",20140727,83,82,1
"58",20140728,82,80,2
"59",20140729,77,75,2
"60",20140730,80,77,3
"61",20140731,85,84,1
"62",20140801,75,74,1
"63",20140802,76,77,-1
"64",20140803,84,83,1
"65",20140804,86,85,1
"66",20140805,89,84,5
"67",20140806,86,79,7
"68",20140807,85,83,2
"69",20140808,83,80,3
"70",20140809,78,78,0
"71",20140810,83,79,4
"72",20140811,73,72,1
"73",20140812,79,82,-3
"74",20140813,82,79,3
"75",20140814,82,81,1
"76",20140815,81,83,-2
"77",20140816,82,84,-2
"78",20140817,83,83,0
"79",20140818,79,80,-1
"80",20140819,84,85,-1
"81",20140820,86,89,-3
"82",20140821,85,85,0
"83",20140822,81,83,-2
"84",20140823,76,79,-3
"85",20140824,76,73,3
"86",20140825,79,78,1
"87",20140826,83,82,1
"88",20140827,86,85,1
"89",20140828,88,87,1
"90",20140829,80,81,-1
"91",20140830,84,87,-3
"92",20140831,91,91,0
